Index,Price
1511,3846
1512,4610
1513,5263
1514,3316
1515,5000
1516,7037
1517,4597
1518,4617
1519,4080
1521,8021
1522,4181
1524,4058
1525,5238
1526,4500
1527,2454
1528,4091
1531,6750
1533,3786
1534,3248
1535,5763
1536,7500
1537,6391
1538,4029
1540,2761
1541,3934
1542,4167
1543,3648
1544,3529
1545,5914
1546,5484
1550,5882
1551,4762
1553,2479
1555,3598
1556,4110
1558,7273
1559,3571
1560,5000
1561,7353
1562,4898
1563,5085
1565,3600
1566,3906
1567,6562
1569,3687
1570,3963
1572,6400
1573,3429
1574,6501
1575,8421
1576,4222
1578,5980
1579,6500
1581,2632
1582,5971
1583,6400
1584,9167
1585,7429
1586,3829
1587,4615
1588,6111
1589,3444
1590,3155
1591,3435
1593,6500
1594,6855
1595,4348
1596,2280
1597,6486
1598,6111
1599,3913
1600,4571
1601,8235
1602,5500
1603,9375
1604,3294
1605,4700
1607,6190
1608,6074
1609,5111
1610,5000
1611,5167
1612,7746
1613,5102
1614,6875
1616,3523
1617,4286
1619,2935
1620,4040
1621,7807
1622,8278
1624,5344
1625,3529
1626,5357
1627,5145
1628,7619
1629,5833
1630,3500
1631,4545
1632,4200
1633,8088
1635,2770
1636,5273
1637,3640
1638,4030
1639,3837
1640,1684
1642,6628
1643,4588
1644,8219
1645,5625
1646,8571
1647,3772
1648,5000
1649,7037
1650,2778
1651,5322
1652,8750
1653,3500
1655,5429
1656,6552
1659,3400
1660,5789
1662,5789
1663,3261
1664,4536
1665,3256
1666,3015
1667,3466
1668,4000
1669,4087
1670,3905
1671,6333
1672,2500
1673,6022
1674,2500
1675,3371
1676,4348
1677,4018
1678,4351
1681,2363
1682,2969
1683,2609
1684,4400
1685,4000
1688,3333
1690,19186
1692,38194
1693,24433
1694,26281
1695,8441
1696,28302
1697,32609
1701,8846
1702,45067
1704,17273
1705,37500
1706,16509
1707,28328
1708,10577
1709,12800
1710,38333
1711,18696
1713,21436
1714,25200
1715,23529
1717,21795
1718,31818
1719,19286
1720,19545
1721,21429
1722,23194
1723,23194
1724,27008
1725,19318
1726,17513
1727,46429
1728,20000
1729,25833
1730,24563
1731,20923
1732,30488
1733,21088
1734,6373
1735,48387
1736,31250
1737,18305
1738,22383
1739,16562
1740,75000
1741,33516
1742,32959
1743,8571
1744,52778
1745,11176
1746,9434
1748,14652
1749,16484
1750,15278
1751,15333
1752,23823
1753,21538
1754,17250
1755,13839
1756,20000
1757,15455
1758,12500
1759,22400
1760,27857
1761,25091
1762,9242
1763,38816
1764,22654
1765,21818
1766,32500
1767,6087
1768,19167
1769,13846
1770,16154
1771,7789
1772,19538
1773,58500
1774,43182
1775,14503
1776,39286
1777,12775
1778,23234
1779,26978
1780,8000
1781,9047
1782,24667
1783,16723
1784,15286
1785,14545
1786,17857
1787,23746
1789,25720
1790,41667
1791,11111
1792,35000
1793,24930
1795,13912
1796,29600
1797,41152
1799,30000
1800,32647
1801,5312
1802,28657
1803,29630
1804,36122
1805,28750
1806,28376
1807,24533
1809,24934
1810,26000
1811,17487
1812,27857
1813,21053
1814,22078
1815,15741
1816,24138
1817,18177
1818,17634
1819,20152
1820,17857
1821,17857
1822,10800
1823,20000
1824,4500
1825,13400
1827,21887
1829,21801
1831,21026
1832,29730
1833,23364
1834,23333
1835,58333
1836,20492
1837,18053
1838,48811
1839,23171
1840,23369
1841,10052
1842,23704
1843,19231
1844,51515
1845,39106
1846,7069
1847,13125
1848,7069
1849,23951
1850,23951
1851,18657
1852,15000
1853,20192
1855,20556
1856,15000
1857,24014
1858,14062
1859,24938
1860,19444
1861,22118
1862,14000
1863,11047
1864,12677
1865,17143
1867,24012
1868,29032
1870,26211
1871,19142
1872,25000
1873,30500
1874,20752
1875,5900
1876,21667
1877,40625
1878,55952
1880,27300
1881,27593
1883,7674
1884,4954
1885,25333
1886,24000
1887,31703
1888,30281
1889,18000
1891,33333
1892,46018
1893,32000
1894,8333
1895,16212
1896,35928
1897,20548
1898,17857
1899,18866
1900,19841
1901,19852
1902,41467
1903,16952
1904,18919
1905,24872
1910,20000
1912,10800
1913,17500
1914,17742
1915,13750
1916,50826
1917,18947
1918,16762
1919,18852
1920,16923
1921,84619
1922,7534
1923,20000
1924,20500
1925,20500
1926,18636
1927,20500
1929,16667
1930,76923
1931,23077
1932,17949
1933,24600
1934,18848
1935,21244
1938,44643
1939,20000
1940,28148
1941,20771
1942,18000
1943,24775
1944,49231
1945,8958
1946,18333
1947,39000
1948,39000
1949,58333
1950,20325
1951,36000
1952,24533
1953,40476
1954,39000
1955,14286
1956,13571
1957,15169
1958,14398
1959,10337
1960,4100
1961,41860
1962,45714
1963,41509
1964,15686
1965,30000
1966,31707
1967,30000
1968,40000
1969,22857
1970,30882
1971,16800
1972,25000
1973,8911
1974,25000
1975,29359
1976,19886
1977,35000
1978,11785
1979,18571
1980,40000
1982,7331
1983,40889
1984,44828
1985,26000
1986,17273
1987,30000
1988,31484
1989,50303
1990,9655
1991,12143
1992,29856
1993,21375
1994,13659
1995,26286
1996,17219
1998,42857
1999,18235
2000,19831
2001,28313
2002,35473
2003,22917
2004,41667
2005,26795
2006,15138
2007,15714
2008,21778
2009,13934
2010,23636
2011,23810
2012,35714
2013,6438
2014,23333
2015,68966
2016,25000
2017,18549
2018,14216
2019,8533
2020,15674
2021,27067
2022,8960
2023,42857
2024,26000
2025,14667
2027,19931
2028,17671
2029,17273
2030,49180
2031,39557
2032,18592
2033,33333
2034,36000
2035,38333
2036,26222
2037,76190
2038,28468
2039,30918
2040,41667
2041,19710
2042,59091
2043,13770
2044,14117
2045,10753
2046,17188
2047,56140
2048,36254
2049,12903
2050,15865
2051,23333
2052,28028
2053,18800
2054,25000
2055,20000
2056,24947
2057,25455
2058,17500
2059,33333
2060,25600
2061,7237
2062,24756
2064,17500
2065,6118
2067,69231
2068,41176
2069,38554
2070,28261
2071,27083
2072,26800
2073,48000
2074,28571
2075,13418
2076,8462
2077,11971
2078,21429
2080,54667
2082,22078
2083,39286
2084,25714
2086,35556
2087,21000
2088,19091
2089,29600
2090,11429
2091,10417
2092,8571
2093,15385
2094,20636
2095,19597
2096,27778
2097,18261
2098,21081
2099,23529
2100,18878
2101,42553
2102,7850
2103,11364
2104,4480
2105,17273
2106,24675
2107,39863
2108,17217
2109,8658
2110,21531
2111,5846
2112,8500
2114,12083
2115,15972
2116,15909
2117,44078
2118,40000
2120,26500
2121,10000
2122,27231
2123,5970
2124,44000
2125,35333
2126,26690
2127,27027
2128,22400
2130,18857
2131,48214
2132,21930
2133,27083
2134,8852
2135,53933
2136,11333
2137,21638
2138,23438
2140,21053
2141,29297
2142,7778
2143,26145
2144,54585
2145,17742
